gps_movement_score,deliveries_in_window,claim_frequency_7d,zone_traffic_clear,is_duplicate_event,label
0.255,0,1,0,0,normal
0.209,0,0,0,0,normal
0.027,0,0,0,0,normal
0.221,0,1,0,0,normal
0.268,0,0,0,0,normal
0.117,0,0,0,0,normal
0.144,0,0,0,0,normal
0.065,0,1,0,0,normal
0.014,0,2,0,0,normal
0.157,0,1,0,0,normal
0.268,0,0,0,0,normal
0.085,0,0,0,0,normal
0.211,0,2,0,0,normal
0.034,0,2,0,0,normal
0.26,0,2,0,0,normal
0.041,0,2,0,0,normal
0.257,0,2,0,0,normal
0.02,0,0,0,0,normal
0.003,0,0,0,0,normal
0.222,0,2,0,0,normal
0.243,0,0,0,0,normal
0.244,0,1,0,0,normal
0.257,0,0,0,0,normal
0.044,0,1,0,0,normal
0.273,0,1,0,0,normal
0.143,0,1,0,0,normal
0.229,0,2,0,0,normal
0.165,0,1,0,0,normal
0.209,0,1,0,0,normal
0.214,0,0,0,0,normal
0.069,0,2,0,0,normal
0.259,0,0,0,0,normal
0.093,0,0,0,0,normal
0.028,0,1,0,0,normal
0.005,0,0,0,0,normal
0.264,0,1,0,0,normal
0.274,0,1,0,0,normal
0.078,0,0,0,0,normal
0.147,0,2,0,0,normal
0.236,0,0,0,0,normal
0.096,0,0,0,0,normal
0.166,0,1,0,0,normal
0.223,0,0,0,0,normal
0.041,0,0,0,0,normal
0.272,0,1,0,0,normal
0.099,0,0,0,0,normal
0.04,0,2,0,0,normal
0.112,0,2,0,0,normal
0.149,0,0,0,0,normal
0.102,0,1,0,0,normal
0.046,0,2,0,0,normal
0.014,0,2,0,0,normal
0.244,0,1,0,0,normal
0.048,0,2,0,0,normal
0.115,0,0,0,0,normal
0.089,0,1,0,0,normal
0.131,0,2,0,0,normal
0.253,0,1,0,0,normal
0.232,0,1,0,0,normal
0.232,0,1,0,0,normal
0.042,0,1,0,0,normal
0.019,0,0,0,0,normal
0.008,0,0,0,0,normal
0.018,0,2,0,0,normal
0.139,0,1,0,0,normal
0.115,0,1,0,0,normal
0.226,0,1,0,0,normal
0.159,0,2,0,0,normal
0.226,0,1,0,0,normal
0.199,0,0,0,0,normal
0.065,0,1,0,0,normal
0.095,0,0,0,0,normal
0.159,0,0,0,0,normal
0.267,0,1,0,0,normal
0.246,0,1,0,0,normal
0.752,6,8,1,0,fraud
0.692,3,7,0,0,fraud
0.63,7,8,1,1,fraud
0.991,8,4,1,0,fraud
0.999,8,6,1,0,fraud
0.568,8,8,1,0,fraud
0.572,2,8,0,0,fraud
0.604,9,6,1,1,fraud
0.846,6,7,0,0,fraud
0.947,7,8,1,1,fraud
0.804,7,8,0,0,fraud
0.759,9,6,1,0,fraud
0.588,6,5,0,0,fraud
0.503,1,8,1,0,fraud
0.737,10,6,0,0,fraud
0.798,8,6,1,0,fraud
0.657,6,6,1,0,fraud
0.868,9,7,1,1,fraud
0.855,6,5,0,1,fraud
0.925,10,8,0,0,fraud
0.916,9,5,0,0,fraud
0.738,7,8,0,1,fraud
0.864,3,3,0,0,fraud
0.972,3,6,0,0,fraud
0.881,8,5,1,1,fraud
0.803,8,3,1,0,fraud
0.529,5,4,1,0,fraud
0.557,5,7,1,0,fraud
0.516,3,3,1,0,fraud
0.604,3,4,0,0,fraud
0.873,10,7,0,0,fraud
0.998,5,4,1,0,fraud
0.748,2,3,1,0,fraud
0.934,8,6,0,0,fraud
0.903,2,6,0,1,fraud
0.944,1,5,0,0,fraud
0.646,4,4,0,1,fraud
0.918,3,5,1,1,fraud
0.789,2,6,0,0,fraud
0.891,7,4,1,0,fraud
0.77,10,3,1,0,fraud
0.63,3,5,1,0,fraud
0.554,10,4,1,0,fraud
0.564,3,6,0,0,fraud
0.58,10,3,1,0,fraud
0.674,1,5,1,1,fraud
0.53,7,8,1,1,fraud
0.698,6,4,1,0,fraud
0.776,5,5,0,1,fraud
0.632,10,5,0,1,fraud
