worker_id,date,daily_earnings,tier,day_of_week,zone_demand_factor,seasonal_multiplier,avg_weekly_earnings_4w
W0005,2025-02-20,748.73,2,3,0.82,0.88,1265.71
W0005,2025-02-21,1638.74,2,4,1.2,1.15,1239.86
W0005,2025-02-22,1625.99,2,5,1.0,1.13,1258.86
W0005,2025-02-23,1220.06,2,6,0.82,1.06,1275.55
W0005,2025-02-24,1222.04,2,0,1.13,0.91,1273.13
W0005,2025-02-25,1353.25,2,1,1.2,0.97,1271.0
W0005,2025-02-26,1475.47,2,2,1.28,0.94,1274.29
W0005,2025-02-27,1093.38,2,3,0.89,1.08,1282.03
W0005,2025-02-28,992.41,2,4,0.93,0.83,1275.04
W0006,2025-02-01,1428.42,2,5,1.01,0.97,1357.0
W0006,2025-02-02,1138.16,2,6,0.85,0.93,1428.42
W0006,2025-02-03,1361.25,2,0,1.02,1.09,1283.29
W0006,2025-02-04,1381.07,2,1,1.02,1.09,1309.28
W0006,2025-02-05,1522.06,2,2,1.26,1.05,1327.22
W0006,2025-02-06,1209.19,2,3,1.2,0.82,1366.19
W0006,2025-02-07,1230.32,2,4,1.14,0.96,1340.02
W0006,2025-02-08,1011.04,2,5,0.88,0.81,1324.35
W0006,2025-02-09,1561.47,2,6,1.14,0.98,1285.19
W0006,2025-02-10,1459.38,2,0,0.98,1.18,1315.89
W0006,2025-02-11,800.46,2,1,0.82,0.86,1330.24
W0006,2025-02-12,1030.82,2,2,1.02,0.83,1282.07
W0006,2025-02-13,975.89,2,3,0.87,0.95,1261.14
W0006,2025-02-14,1281.31,2,4,1.28,0.81,1239.19
W0006,2025-02-15,1358.19,2,5,0.89,1.01,1242.2
W0006,2025-02-16,1507.5,2,6,1.15,0.89,1249.94
W0006,2025-02-17,1664.32,2,0,1.15,1.2,1266.03
W0006,2025-02-18,902.65,2,1,0.84,0.87,1289.46
W0006,2025-02-19,1718.99,2,2,1.16,1.2,1267.97
W0006,2025-02-20,1534.78,2,3,1.29,1.07,1291.71
W0006,2025-02-21,1397.01,2,4,1.15,1.02,1303.86
W0006,2025-02-22,1398.05,2,5,0.88,1.08,1308.3
W0006,2025-02-23,1252.78,2,6,0.89,0.94,1312.38
W0006,2025-02-24,1095.73,2,0,0.92,1.0,1309.79
W0006,2025-02-25,1071.52,2,1,0.98,1.03,1300.87
W0006,2025-02-26,1215.83,2,2,0.86,1.15,1291.69
W0006,2025-02-27,944.39,2,3,0.83,0.96,1288.78
W0006,2025-02-28,1107.68,2,4,1.01,0.96,1276.02
W0007,2025-02-01,646.23,0,5,1.09,0.85,613.92
W0007,2025-02-02,614.86,0,6,1.06,0.85,646.23
W0007,2025-02-03,620.69,0,0,1.08,1.04,630.55
W0007,2025-02-04,638.01,0,1,1.05,1.15,627.26
W0007,2025-02-05,667.8,0,2,1.22,1.01,629.95
W0007,2025-02-06,649.69,0,3,1.27,0.89,637.52
W0007,2025-02-07,701.18,0,4,1.27,1.01,639.55
W0007,2025-02-08,697.36,0,5,0.9,1.18,648.35
W0007,2025-02-09,694.83,0,6,1.11,1.05,654.48
W0007,2025-02-10,469.73,0,0,1.09,0.87,658.96
W0007,2025-02-11,648.81,0,1,1.11,1.16,640.04
W0007,2025-02-12,615.37,0,2,0.82,1.15,640.84
W0007,2025-02-13,550.32,0,3,0.84,1.18,638.71
W0007,2025-02-14,476.65,0,4,0.91,1.03,631.91
W0007,2025-02-15,519.72,0,5,1.11,0.81,620.82
W0007,2025-02-16,539.36,0,6,0.95,0.9,614.08
W0007,2025-02-17,527.97,0,0,1.0,0.98,609.41
W0007,2025-02-18,522.77,0,1,1.01,0.99,604.62
W0007,2025-02-19,487.08,0,2,0.97,0.86,600.08
W0007,2025-02-20,633.4,0,3,1.29,0.94,594.13
W0007,2025-02-21,581.41,0,4,1.0,1.1,596.09
W0007,2025-02-22,500.99,0,5,0.92,0.85,595.39
W0007,2025-02-23,505.05,0,6,0.87,0.82,591.1
W0007,2025-02-24,777.43,0,0,1.28,1.16,587.36
W0007,2025-02-25,772.78,0,1,1.21,1.17,595.28
W0007,2025-02-26,548.89,0,2,0.88,1.2,602.38
W0007,2025-02-27,629.76,0,3,1.03,1.15,600.32
W0007,2025-02-28,539.36,0,4,1.0,0.98,601.41
W0008,2025-02-01,586.15,0,5,0.92,1.03,556.84
W0008,2025-02-02,899.0,0,6,1.22,1.07,586.15
W0008,2025-02-03,395.71,0,0,0.8,0.84,742.58
W0008,2025-02-04,546.66,0,1,0.98,0.96,626.95
W0008,2025-02-05,325.91,0,2,0.82,0.82,606.88
W0008,2025-02-06,473.18,0,3,0.94,0.95,550.69
W0008,2025-02-07,609.67,0,4,1.03,1.02,537.77
W0008,2025-02-08,534.58,0,5,1.11,0.85,548.04
W0008,2025-02-09,746.05,0,6,0.99,1.19,546.36
W0008,2025-02-10,601.67,0,0,1.1,0.96,568.55
W0008,2025-02-11,349.35,0,1,0.82,0.82,571.86
W0008,2025-02-12,413.47,0,2,1.06,0.86,551.63
W0008,2025-02-13,631.03,0,3,1.25,0.86,540.12
W0008,2025-02-14,559.2,0,4,1.0,1.05,547.11
W0008,2025-02-15,765.55,0,5,1.22,1.04,547.97
W0008,2025-02-16,672.73,0,6,1.08,0.99,562.48
W0008,2025-02-17,411.02,0,0,0.97,0.84,569.37
W0008,2025-02-18,812.09,0,1,1.25,1.15,560.05
W0008,2025-02-19,627.81,0,2,1.11,1.04,574.06
W0008,2025-02-20,803.44,0,3,1.29,1.03,576.89
W0008,2025-02-21,349.93,0,4,0.91,0.82,588.21
W0008,2025-02-22,836.04,0,5,1.16,1.11,576.87
W0008,2025-02-23,696.81,0,6,1.21,0.9,588.65
W0008,2025-02-24,513.2,0,0,1.02,0.97,593.35
W0008,2025-02-25,420.09,0,1,1.01,0.88,590.01
W0008,2025-02-26,651.29,0,2,1.04,1.14,583.21
W0008,2025-02-27,625.33,0,3,1.16,1.08,585.83
W0008,2025-02-28,700.34,0,4,1.3,0.99,587.29
W0009,2025-02-01,1100.27,1,5,0.99,1.18,1045.26
W0009,2025-02-02,1301.94,1,6,1.14,1.15,1100.27
W0009,2025-02-03,803.23,1,0,1.2,0.91,1201.1
W0009,2025-02-04,747.54,1,1,0.94,0.92,1068.48
W0009,2025-02-05,1294.97,1,2,1.27,1.19,988.24
W0009,2025-02-06,900.07,1,3,1.15,1.0,1049.59
W0009,2025-02-07,974.97,1,4,1.04,1.02,1024.67
W0009,2025-02-08,939.11,1,5,0.94,1.03,1017.57
W0009,2025-02-09,1197.46,1,6,1.25,0.96,1007.76
W0009,2025-02-10,794.61,1,0,0.82,1.18,1028.84
W0009,2025-02-11,789.18,1,1,0.84,1.17,1005.42
W0009,2025-02-12,805.18,1,2,0.91,1.13,985.76
W0009,2025-02-13,811.72,1,3,0.94,1.02,970.71
W0009,2025-02-14,918.88,1,4,1.17,0.9,958.48
W0009,2025-02-15,951.79,1,5,0.83,1.16,955.65
W0009,2025-02-16,986.02,1,6,0.97,0.99,955.39
W0009,2025-02-17,909.04,1,0,0.87,1.19,957.31
W0009,2025-02-18,1100.52,1,1,1.13,1.15,954.47
W0009,2025-02-19,938.57,1,2,1.04,1.06,962.58
W0009,2025-02-20,614.06,1,3,0.94,0.82,961.32
W0009,2025-02-21,1072.31,1,4,1.18,1.06,943.96
W0009,2025-02-22,1097.63,1,5,1.23,0.81,950.07
W0009,2025-02-23,1267.07,1,6,1.01,1.14,956.78
W0009,2025-02-24,901.53,1,0,1.19,0.87,970.27
W0009,2025-02-25,1140.28,1,1,1.17,1.15,967.4
W0009,2025-02-26,853.2,1,2,0.95,1.04,974.32
W0009,2025-02-27,927.36,1,3,1.26,0.93,969.66
W0009,2025-02-28,1065.42,1,4,1.06,1.16,968.09
W0010,2025-02-01,1227.22,2,5,0.87,1.0,1165.86
W0010,2025-02-02,1729.23,2,6,1.17,1.06,1227.22
W0010,2025-02-03,883.05,2,0,0.81,0.93,1478.22
W0010,2025-02-04,1195.13,2,1,0.9,1.04,1279.83
W0010,2025-02-05,1250.19,2,2,1.12,0.96,1258.66
W0010,2025-02-06,1027.56,2,3,1.0,0.84,1256.96
W0010,2025-02-07,1537.9,2,4,1.29,0.99,1218.73
W0010,2025-02-08,1348.22,2,5,0.99,0.98,1264.33
W0010,2025-02-09,1396.72,2,6,0.96,1.03,1274.81
W0010,2025-02-10,1228.36,2,0,0.92,1.07,1288.36
W0010,2025-02-11,1018.68,2,1,1.03,0.86,1282.36
W0010,2025-02-12,1547.44,2,2,1.24,1.11,1258.39
W0010,2025-02-13,1507.37,2,3,1.15,1.06,1282.48
W0010,2025-02-14,1271.12,2,4,0.91,1.18,1299.77
W0010,2025-02-15,1413.11,2,5,1.04,0.98,1297.73
W0010,2025-02-16,2034.69,2,6,1.26,1.1,1305.42
W0010,2025-02-17,1568.68,2,0,1.21,1.1,1351.0
W0010,2025-02-18,1381.32,2,1,1.19,1.01,1363.8
W0010,2025-02-19,1216.85,2,2,1.06,0.94,1364.78
W0010,2025-02-20,1672.2,2,3,1.21,1.16,1356.99
W0010,2025-02-21,1141.02,2,4,0.9,1.01,1372.75
W0010,2025-02-22,1642.87,2,5,1.02,1.07,1361.72
W0010,2025-02-23,1718.78,2,6,1.04,1.16,1374.5
W0010,2025-02-24,1257.47,2,0,1.01,1.03,1389.47
W0010,2025-02-25,1382.97,2,1,1.08,1.07,1383.97
W0010,2025-02-26,902.6,2,2,0.93,0.8,1383.93
W0010,2025-02-27,837.48,2,3,0.91,0.83,1365.41
W0010,2025-02-28,1088.69,2,4,1.07,0.82,1345.86
W0011,2025-02-01,2081.18,2,5,1.25,1.19,1977.12
W0011,2025-02-02,1347.55,2,6,0.87,1.06,2081.18
W0011,2025-02-03,1501.52,2,0,1.28,0.95,1714.36
W0011,2025-02-04,1401.98,2,1,1.26,0.95,1643.42
W0011,2025-02-05,1218.36,2,2,0.84,1.19,1583.06
W0011,2025-02-06,1235.66,2,3,1.23,0.85,1510.12
W0011,2025-02-07,1594.25,2,4,1.3,0.96,1464.38
W0011,2025-02-08,2032.03,2,5,1.22,1.1,1482.93
W0011,2025-02-09,1550.05,2,6,1.03,1.09,1551.57
W0011,2025-02-10,1087.81,2,0,1.03,0.86,1551.4
W0011,2025-02-11,1229.44,2,1,0.89,1.15,1505.04
W0011,2025-02-12,1411.06,2,2,1.13,1.05,1479.98
W0011,2025-02-13,1768.93,2,3,1.27,1.16,1474.24
W0011,2025-02-14,1312.23,2,4,1.1,0.98,1496.91
W0011,2025-02-15,1876.61,2,5,1.14,1.15,1483.72
W0011,2025-02-16,1695.51,2,6,1.07,1.1,1509.91
W0011,2025-02-17,1263.87,2,0,0.87,1.2,1521.51
W0011,2025-02-18,1458.08,2,1,1.09,1.03,1506.36
W0011,2025-02-19,1622.04,2,2,1.19,1.13,1503.67
W0011,2025-02-20,1665.35,2,3,1.29,1.01,1509.9
W0011,2025-02-21,1040.2,2,4,1.01,0.91,1517.68
W0011,2025-02-22,1418.0,2,5,1.17,0.87,1494.94
W0011,2025-02-23,1212.95,2,6,1.08,0.82,1491.44
W0011,2025-02-24,1335.37,2,0,1.06,1.08,1479.33
W0011,2025-02-25,1129.08,2,1,1.0,0.92,1473.33
W0011,2025-02-26,1039.41,2,2,0.92,0.89,1459.56
W0011,2025-02-27,1252.6,2,3,1.23,0.86,1443.4
W0011,2025-02-28,1179.61,2,4,1.01,0.97,1436.34
W0012,2025-02-01,639.42,0,5,1.06,0.96,607.45
W0012,2025-02-02,646.65,0,6,1.02,0.95,639.42
W0012,2025-02-03,496.87,0,0,1.21,0.82,643.04
W0012,2025-02-04,421.86,0,1,0.82,0.83,594.31
W0012,2025-02-05,669.83,0,2,1.2,1.04,551.2
W0012,2025-02-06,543.4,0,3,0.9,1.16,574.93
W0012,2025-02-07,613.82,0,4,0.95,1.16,569.67
W0012,2025-02-08,873.87,0,5,1.17,1.1,575.98
W0012,2025-02-09,861.19,0,6,1.26,1.08,613.22
W0012,2025-02-10,502.85,0,0,0.96,0.91,640.77
W0012,2025-02-11,583.55,0,1,1.03,1.06,626.98
W0012,2025-02-12,719.24,0,2,1.24,0.99,623.03
W0012,2025-02-13,722.61,0,3,1.2,1.09,631.05
W0012,2025-02-14,416.54,0,4,0.9,0.93,638.09
W0012,2025-02-15,680.34,0,5,0.82,1.15,622.26
W0012,2025-02-16,764.47,0,6,1.09,1.09,626.14
W0012,2025-02-17,406.55,0,0,0.9,0.89,634.78
W0012,2025-02-18,684.98,0,1,1.08,1.18,621.36
W0012,2025-02-19,512.21,0,2,0.97,1.11,624.89
W0012,2025-02-20,636.36,0,3,1.17,0.98,618.96
W0012,2025-02-21,644.99,0,4,1.17,0.94,619.83
W0012,2025-02-22,729.83,0,5,0.89,1.16,621.03
W0012,2025-02-23,928.55,0,6,1.28,1.01,625.97
W0012,2025-02-24,402.36,0,0,0.82,0.8,639.13
W0012,2025-02-25,528.47,0,1,0.87,1.05,629.26
W0012,2025-02-26,502.34,0,2,0.91,0.98,625.23
W0012,2025-02-27,584.93,0,3,0.83,1.06,620.51
W0012,2025-02-28,458.86,0,4,1.13,0.81,619.19
W0013,2025-02-01,638.94,0,5,1.07,0.96,606.99
W0013,2025-02-02,549.06,0,6,0.94,1.0,638.94
W0013,2025-02-03,710.06,0,0,1.02,1.18,594.0
W0013,2025-02-04,625.68,0,1,1.06,0.9,632.69
W0013,2025-02-05,495.14,0,2,1.11,0.9,630.93
W0013,2025-02-06,615.68,0,3,0.84,1.18,603.78
W0013,2025-02-07,496.11,0,4,1.03,0.9,605.76
W0013,2025-02-08,622.91,0,5,1.21,0.83,590.1
W0013,2025-02-09,543.04,0,6,1.12,0.81,594.2
W0013,2025-02-10,704.92,0,0,1.12,1.08,588.51
W0013,2025-02-11,499.17,0,1,0.84,1.14,600.15
W0013,2025-02-12,808.88,0,2,1.29,1.19,590.97
W0013,2025-02-13,818.02,0,3,1.25,1.17,609.13
W0013,2025-02-14,758.2,0,4,1.15,1.03,625.2
W0013,2025-02-15,701.9,0,5,0.94,1.17,634.7
W0013,2025-02-16,704.88,0,6,1.13,0.87,639.18
W0013,2025-02-17,449.23,0,0,0.81,0.88,643.29
W0013,2025-02-18,851.59,0,1,1.21,1.17,631.87
W0013,2025-02-19,449.3,0,2,0.95,1.03,644.08
W0013,2025-02-20,599.95,0,3,1.14,1.02,633.83
W0013,2025-02-21,618.19,0,4,0.99,1.1,632.13
W0013,2025-02-22,520.6,0,5,0.84,1.1,631.47
W0013,2025-02-23,424.03,0,6,0.85,0.89,626.43
W0013,2025-02-24,677.62,0,0,1.1,1.19,617.63
W0013,2025-02-25,565.85,0,1,0.96,1.05,620.13
W0013,2025-02-26,457.0,0,2,0.91,1.02,617.96
W0013,2025-02-27,431.77,0,3,0.99,0.87,611.77
W0013,2025-02-28,577.02,0,4,1.19,0.92,605.1
W0014,2025-02-01,423.38,0,5,0.92,0.83,402.21
W0014,2025-02-02,603.54,0,6,0.88,0.96,423.38
W0014,2025-02-03,472.06,0,0,0.85,1.18,513.46
W0014,2025-02-04,416.83,0,1,0.85,0.83,499.66
W0014,2025-02-05,548.94,0,2,1.02,1.02,478.95
W0014,2025-02-06,469.42,0,3,0.84,1.02,492.95
W0014,2025-02-07,676.71,0,4,1.1,1.11,489.03
W0014,2025-02-08,727.81,0,5,1.01,1.11,515.84
W0014,2025-02-09,751.48,0,6,1.08,1.2,542.34
W0014,2025-02-10,430.39,0,0,0.88,0.91,565.57
W0014,2025-02-11,459.86,0,1,0.93,0.86,552.06
W0014,2025-02-12,614.84,0,2,0.95,1.11,543.67
W0014,2025-02-13,625.38,0,3,0.98,1.18,549.6
W0014,2025-02-14,540.75,0,4,1.11,0.98,555.43
W0014,2025-02-15,474.48,0,5,0.87,0.8,554.38
W0014,2025-02-16,734.67,0,6,1.23,0.98,549.06
W0014,2025-02-17,670.38,0,0,1.21,1.06,560.66
W0014,2025-02-18,629.78,0,1,1.1,1.08,567.11
W0014,2025-02-19,462.46,0,2,1.04,0.87,570.59
W0014,2025-02-20,701.83,0,3,1.17,1.05,564.9
W0014,2025-02-21,762.83,0,4,1.28,1.11,571.75
W0014,2025-02-22,782.16,0,5,1.19,0.95,580.85
W0014,2025-02-23,690.33,0,6,0.9,1.2,590.0
W0014,2025-02-24,741.23,0,0,1.16,1.18,594.36
W0014,2025-02-25,563.65,0,1,0.9,1.12,600.48
W0014,2025-02-26,735.01,0,2,1.22,1.12,599.01
W0014,2025-02-27,526.78,0,3,1.14,0.86,604.24
W0014,2025-02-28,505.56,0,4,0.88,0.97,601.37
W0015,2025-02-01,919.36,1,5,0.99,0.98,873.39
W0015,2025-02-02,1410.49,1,6,1.26,1.15,919.36
W0015,2025-02-03,802.06,1,0,0.82,1.19,1164.92
W0015,2025-02-04,1006.68,1,1,1.1,1.17,1043.97
W0015,2025-02-05,634.85,1,2,0.85,0.9,1034.65
W0015,2025-02-06,945.87,1,3,1.11,1.03,954.69
W0015,2025-02-07,1053.03,1,4,1.12,1.06,953.22
W0015,2025-02-08,976.03,1,5,1.2,0.84,967.48
W0015,2025-02-09,990.51,1,6,0.91,1.1,968.55
W0015,2025-02-10,800.42,1,0,0.99,0.99,970.99
W0015,2025-02-11,1148.31,1,1,1.14,1.08,953.93
W0015,2025-02-12,954.77,1,2,1.04,0.92,971.6
W0015,2025-02-13,928.5,1,3,1.26,0.83,970.2
W0015,2025-02-14,704.44,1,4,0.97,0.94,966.99
W0015,2025-02-15,1260.71,1,5,1.19,1.01,948.24
W0015,2025-02-16,881.72,1,6,1.03,0.83,969.07
W0015,2025-02-17,785.38,1,0,1.16,0.81,963.61
W0015,2025-02-18,1213.46,1,1,1.2,1.17,953.13
W0015,2025-02-19,961.98,1,2,1.17,1.01,967.59
W0015,2025-02-20,826.97,1,3,1.01,0.98,967.29
W0015,2025-02-21,1099.48,1,4,1.2,1.05,960.28
W0015,2025-02-22,1169.94,1,5,1.0,1.09,966.91
W0015,2025-02-23,976.0,1,6,1.02,0.97,976.13
W0015,2025-02-24,1134.2,1,0,1.15,1.12,976.13
W0015,2025-02-25,991.24,1,1,1.09,1.12,982.72
W0015,2025-02-26,639.29,1,2,0.9,0.85,983.06
W0015,2025-02-27,1011.37,1,3,1.14,1.0,969.83
W0015,2025-02-28,798.63,1,4,0.99,0.96,971.37
W0016,2025-02-01,555.2,0,5,0.86,0.94,527.44
W0016,2025-02-02,977.33,0,6,1.2,1.17,555.2
W0016,2025-02-03,584.9,0,0,1.14,0.93,766.27
W0016,2025-02-04,493.14,0,1,0.99,0.86,705.81
W0016,2025-02-05,519.53,0,2,0.99,1.04,652.64
W0016,2025-02-06,553.97,0,3,1.04,1.01,626.02
W0016,2025-02-07,824.82,0,4,1.26,1.17,614.01
W0016,2025-02-08,562.02,0,5,0.94,0.87,644.13
W0016,2025-02-09,809.7,0,6,1.11,1.15,633.86
W0016,2025-02-10,558.57,0,0,0.99,1.02,653.4
W0016,2025-02-11,518.06,0,1,1.13,0.96,643.92
W0016,2025-02-12,492.16,0,2,1.02,0.87,632.48
W0016,2025-02-13,667.65,0,3,1.08,1.12,620.78
W0016,2025-02-14,473.13,0,4,0.91,0.92,624.39
W0016,2025-02-15,742.46,0,5,1.19,1.03,613.58
W0016,2025-02-16,645.5,0,6,1.09,0.91,622.18
W0016,2025-02-17,732.9,0,0,1.3,1.02,623.63
