worker_id,city,zone_risk_score,worker_activity_level,claim_history_count,seasonal_factor,weeks_active,tier
W0073,Hyderabad,0.32,70,0,1.01,72,2
W0074,Hyderabad,0.41,23,10,1.17,83,0
W0075,Kolkata,0.66,30,11,1.16,68,0
W0076,Chennai,0.67,56,6,1.08,74,1
W0077,Bangalore,0.26,63,10,1.1,26,0
W0078,Lucknow,0.58,66,8,1.13,42,0
W0079,Chennai,0.28,56,7,0.98,90,0
W0080,Hyderabad,0.53,36,10,0.83,69,0
W0081,Lucknow,0.38,45,10,0.92,29,0
W0082,Bangalore,0.12,46,7,1.04,102,0
W0083,Delhi,0.49,39,11,1.08,67,0
W0084,Pune,0.31,15,12,1.14,17,0
W0085,Pune,0.29,74,0,1.02,19,2
W0086,Ahmedabad,0.21,74,10,1.01,75,0
W0087,Lucknow,0.37,71,9,1.13,68,0
W0088,Pune,0.81,72,2,1.1,64,2
W0089,Ahmedabad,0.32,46,10,0.91,103,0
W0090,Jaipur,0.51,45,4,0.98,95,1
W0091,Chennai,0.3,57,5,1.16,14,0
W0092,Bangalore,0.23,64,11,0.86,31,0
W0093,Delhi,0.45,57,8,0.99,11,0
W0094,Hyderabad,0.81,64,12,1.03,93,0
W0095,Mumbai,0.83,63,7,0.8,49,0
W0096,Chennai,0.74,68,8,1.1,73,0
W0097,Lucknow,0.86,77,3,0.91,66,2
W0098,Mumbai,0.43,66,11,0.87,63,0
W0099,Bangalore,0.93,18,6,1.04,88,0
W0100,Mumbai,0.17,69,2,1.15,27,1
W0101,Mumbai,0.32,56,3,0.98,47,1
W0102,Pune,0.34,68,4,1.13,64,1
W0103,Mumbai,0.74,21,5,0.89,12,0
W0104,Mumbai,0.74,46,3,1.14,83,1
W0105,Bangalore,0.3,75,10,0.85,31,0
W0106,Ahmedabad,0.69,62,2,1.04,99,2
W0107,Delhi,0.76,35,4,0.84,7,0
W0108,Chennai,0.59,63,6,1.18,29,0
W0109,Delhi,0.6,46,1,1.08,42,1
W0110,Lucknow,0.78,20,5,1.01,88,0
W0111,Kolkata,0.16,58,0,1.14,66,2
W0112,Delhi,0.47,61,10,1.16,62,0
W0113,Bangalore,0.47,49,9,1.12,72,0
W0114,Ahmedabad,0.5,49,5,1.14,15,0
W0115,Chennai,0.85,46,12,0.99,82,0
W0116,Pune,0.39,78,5,0.87,31,1
W0117,Kolkata,0.78,58,4,1.15,93,1
W0118,Chennai,0.57,39,1,0.9,56,1
W0119,Ahmedabad,0.57,45,11,0.99,95,0
W0120,Ahmedabad,0.48,17,1,0.92,55,0
W0121,Hyderabad,0.36,62,7,1.02,48,0
W0122,Pune,0.95,57,5,1.08,38,1
W0123,Chennai,0.31,30,11,0.88,19,0
W0124,Jaipur,0.91,38,3,0.89,65,1
W0125,Chennai,0.72,51,1,1.13,41,1
W0126,Hyderabad,0.41,53,0,1.08,20,1
W0127,Chennai,0.14,21,8,0.92,20,0
W0128,Ahmedabad,0.19,16,9,0.91,65,0
W0129,Ahmedabad,0.39,21,4,1.18,65,0
W0130,Delhi,0.8,66,7,0.83,84,1
W0131,Mumbai,0.23,53,1,1.2,19,1
W0132,Jaipur,0.75,43,12,1.01,61,0
W0133,Ahmedabad,0.35,69,4,1.03,11,1
W0134,Lucknow,0.92,27,12,0.88,31,0
W0135,Chennai,0.66,35,3,0.87,13,0
W0136,Bangalore,0.1,72,11,1.04,41,0
W0137,Mumbai,0.3,51,11,1.14,13,0
W0138,Hyderabad,0.89,40,6,0.85,32,0
W0139,Bangalore,0.87,33,1,0.82,43,1
W0140,Lucknow,0.74,51,7,0.85,92,0
W0141,Chennai,0.69,49,8,1.02,60,0
W0142,Delhi,0.61,70,11,0.93,36,0
W0143,Mumbai,0.18,17,12,1.07,38,0
W0144,Lucknow,0.13,37,7,1.01,60,0
W0145,Chennai,0.25,70,10,1.13,15,0
W0146,Ahmedabad,0.4,57,5,1.07,24,0
W0147,Kolkata,0.45,78,4,1.07,55,1
W0148,Jaipur,0.13,26,5,0.9,18,0
W0149,Pune,0.84,15,10,1.15,63,0
W0150,Pune,0.15,61,9,1.1,84,0
W0151,Ahmedabad,0.75,41,4,1.02,40,0
W0152,Ahmedabad,0.85,77,1,0.81,84,2
W0153,Lucknow,0.78,35,4,1.02,74,0
W0154,Pune,0.18,29,7,1.18,86,0
W0155,Bangalore,0.52,52,8,1.08,57,0
W0156,Ahmedabad,0.93,46,7,1.02,53,0
W0157,Hyderabad,0.88,80,11,1.15,12,0
W0158,Chennai,0.76,68,5,1.17,68,1
W0159,Chennai,0.8,51,11,0.92,79,0
W0160,Lucknow,0.95,77,2,0.98,65,2
W0161,Kolkata,0.38,63,7,1.17,28,0
W0162,Hyderabad,0.59,44,12,0.96,44,0
W0163,Ahmedabad,0.7,63,6,1.2,87,1
W0164,Bangalore,0.52,19,2,1.0,79,0
W0165,Kolkata,0.84,71,1,1.01,62,2
W0166,Mumbai,0.71,67,10,1.19,13,0
W0167,Ahmedabad,0.76,48,5,1.05,54,0
W0168,Delhi,0.82,63,5,1.05,101,1
W0169,Ahmedabad,0.84,19,9,0.83,84,0
W0170,Chennai,0.95,26,6,1.19,101,0
W0171,Delhi,0.48,53,0,0.82,11,1
W0172,Chennai,0.4,70,2,0.9,56,2
W0173,Lucknow,0.68,38,2,0.87,82,1
W0174,Pune,0.63,45,7,1.17,22,0
W0175,Hyderabad,0.49,47,7,0.9,5,0
W0176,Ahmedabad,0.87,35,1,0.98,48,1
W0177,Lucknow,0.35,69,11,0.9,42,0
W0178,Hyderabad,0.95,76,1,0.89,77,2
W0179,Kolkata,0.59,52,0,1.19,88,2
W0180,Pune,0.33,21,9,1.1,40,0
W0181,Hyderabad,0.62,60,3,1.05,83,1
W0182,Chennai,0.68,32,10,0.84,84,0
W0183,Mumbai,0.36,71,0,1.03,97,2
W0184,Bangalore,0.18,52,5,1.1,26,0
W0185,Hyderabad,0.21,61,8,1.0,38,0
W0186,Bangalore,0.32,76,12,0.92,47,0
W0187,Delhi,0.5,24,2,1.1,32,0
W0188,Pune,0.92,61,1,1.12,5,2
W0189,Chennai,0.56,73,5,1.07,90,1
W0190,Chennai,0.6,62,1,1.07,64,2
W0191,Mumbai,0.63,56,9,0.89,12,0
W0192,Ahmedabad,0.87,53,10,0.96,21,0
W0193,Mumbai,0.9,53,7,0.85,34,0
W0194,Jaipur,0.22,73,5,1.07,99,1
W0195,Jaipur,0.46,34,6,1.06,66,0
W0196,Lucknow,0.45,50,0,1.08,31,1
W0197,Ahmedabad,0.48,45,5,0.84,91,0
W0198,Kolkata,0.56,60,0,0.96,28,2
W0199,Delhi,0.91,73,1,1.07,86,2
W0200,Lucknow,0.93,21,12,0.93,20,0
